name,misc
マカ（Maca）,性機能を改善し、エネルギーと持久力をサポートするとされる根菜の一種です。
トリビュラス（Tribulus）,男性の性的パフォーマンスや筋力の向上をサポートするとされるハーブです。
ホースチェストナッツ（Horse Chestnut）,血流を改善し、勃起機能をサポートするとされる植物由来の成分です。
ガラナ（Guarana）,エネルギー増強や性欲向上のために使用される天然の刺激物です。
亜鉛（Zinc）,性ホルモンの生産をサポートし、性機能を向上させるとされるミネラルです。
ホルミジオグロウ（Horny Goat Weed）,性的機能やリビドーをサポートするとされるハーブの一種です。
ギンコビロバ（Ginkgo Biloba）,血流を改善し、性的機能や勃起の質を向上させるとされるハーブです。
パナックスジンセン（Panax Ginseng）,エネルギーと体力を増強し、性的なパフォーマンスを向上させるとされるハーブの一種です。
ライジウム（L-Arginine）,一部の研究では、血流を改善し勃起機能を向上させる可能性があるとされるアミノ酸です。
マカプラス（Maca Plus）,マカに加えて他の植物や栄養素が組み合わされたサプリメントで、性機能とエネルギーの向上をサポートすることを目指しています。
アルギニン（Arginine）,アミノ酸の一種で、一部の研究では性機能や血流改善のサポートに関連しているとされています。
ノコギリヤシ（Saw Palmetto）,前立腺の健康をサポートし、男性特有の問題に関連しているとされるハーブです。
ディアアントラー（Deer Antler Velvet）,スタミナと筋力の増強に関連しているとされる成分です。
シルデナフィル（Sildenafil）,勃起不全の治療薬として知られており、性的機能の向上に関与することがあります（ただし、処方箋が必要な医薬品です）。
セルノアイビー（Cernilton）,前立腺の健康をサポートし、尿のトラブルや勃起の質に関連しているとされる成分です。
ピニバークエキス（Pycnogenol）,血流改善や勃起機能の向上に関与する可能性のある抽出物です。
マカロン（Maca Root）,マカの根から抽出されたサプリメントで、性機能の向上やエネルギー増強をサポートするとされています。
シトルリンマラト（Citrulline Malate）,血流改善や筋肉疲労の緩和に関与するアミノ酸の一種です。
オルニチン（Ornithine）,疲労回復や体力増強に関与するアミノ酸です。
グロブリン（Globe Artichoke）,血流改善や消化機能のサポートに関連しているとされる植物成分です。
フェヌグリーク（Fenugreek）,性ホルモンのバランスを整え、性機能や筋力の向上に関与するとされるハーブです。
プルビテスト（Tribulus Terrestris）,性的パフォーマンスやリビドーの向上をサポートするとされる植物成分です。
ピンクム（Pink Muira Puama）,性的な活力やリビドーの向上をサポートするとされるアマゾンの植物です。
オメガ-3脂肪酸（Omega-3 Fatty Acids）,血流改善や心血管健康に関与し、性機能のサポートにも寄与するとされる必須脂肪酸です。
セレン（Selenium）,睾丸機能や精子の健康に関与するミネラルです。
ビタミンD（Vitamin D）,性ホルモンの調節や骨の健康に関与し、男性の性機能のサポートにも重要です。
ビタミンC（Vitamin C）,抗酸化作用や免疫機能のサポートに関与し、性機能の向上にも寄与することがあります。
ビタミンE（Vitamin E）,抗酸化作用や血行促進に関与し、性機能や精子の健康にも寄与するとされます。
ビタミンB12（Vitamin B12）,神経機能やエネルギー代謝に関与し、全体的な健康と性機能のサポートに重要です。

エディケアEX（EdiCare EX）,エディケアEXは、男性の性機能や勃起力の向上をサポートすることを目指したサプリメントです。
プロキオン（Procyon）,プロキオンは、男性の性機能やリビドーの向上をサポートするために開発されたサプリメントです。
クラチャイダムゴールド（Kra-Chai-Dam Gold）,クラチャイダムゴールドは、タイのハーブであるクラチャイダムを主成分として使用した、男性の性機能とエネルギー増強をサポートするサプリメントです。
マカエンペラー（Maca Emperor）,マカエンペラーは、マカと呼ばれる根菜を主成分として使用した、性機能や体力の向上をサポートするサプリメントです。
エディタルEX（Edital EX）,エディタルEXは、男性の勃起機能の向上と持続力の増加をサポートするために開発されたサプリメントです。
スピルリナ（Spirulina）,スピルリナは、栄養豊富な藍藻の一種であり、全体的な健康とエネルギー増強に寄与するとされています。
エビオス（Ebios）,エビオスは、ビタミンB群やアミノ酸などを含むサプリメントであり、全体的な健康と体力増強をサポートすることを目指しています。
