en,ja
campaign,キャンペーン
rally,集会
rebellion,反乱
strategy,戦略
protest,抗議
movement,運動
demonstration,デモンストレーション
resistance,抵抗
revolution,革命
mobilization,動員
propaganda,プロパガンダ
activism,活動主義
insurgency,反乱
uprising,蜂起
strike,ストライキ
advocacy,主張
agitation,扇動
counteraction,対抗行動
mutiny,暴動
petition,請願
boycott,ボイコット
lobbying,ロビー活動
civil disobedience,市民的不服従
occupation,占拠
solidarity,連帯
coup,クーデター
riot,騒動
proclamation,宣言
guerrilla warfare,ゲリラ戦
crusade,聖戦
march,行進
confrontation,対立
sabotage,サボタージュ
discontent,不満
escalation,エスカレーション
revolt,反乱
crackdown,取り締まり
sit-in,座り込み
blockade,封鎖
reform,改革
anarchy,無政府状態
upheaval,大変動
dissent,異議
reprisal,報復
radicalism,過激主義
coalition,連合
negotiation,交渉
sanction,制裁
rally,ラリー
challenge,チャレンジ
victory,勝利
defeat,敗北
democracy,民主主義
dictatorship,独裁
diplomacy,外交
alliance,同盟
treaty,条約
oppression,抑圧
freedom,自由
equality,平等
justice,正義
corruption,腐敗
activism,活動
independence,独立
sovereignty,主権
compromise,妥協
unity,統一
diversity,多様性
ideology,イデオロギー
nationalism,国家主義
globalism,グローバリズム
isolationism,孤立主義
aggression,侵略
pacifism,平和主義
terrorism,テロリズム
extremism,過激主義
opposition,反対
support,支持
coalition,連立
regime,政権
opposition,反対派
majority,多数派
minority,少数派
electorate,選挙民
ballot,投票
candidate,候補者
policy,政策
legislation,法律
constitution,憲法
referendum,住民投票
monarchy,君主制
republic,共和制
citizen,市民
authority,権威
liberty,自由
security,安全
stability,安定
prosperity,繁栄
crisis,危機
transformation,変革
development,発展
intervention,介入
sanctions,制裁
disarmament,軍備縮小
ceasefire,停戦
occupation,占領
mediation,調停
declaration,宣言
resolution,決議
summit,サミット
security council,安全保障理事会
veto,拒否権
territory,領土
border,国境
embargo,輸出入停止
refugee,難民
asylum,亡命
civil rights,市民権
dissidence,異議
lobbyist,ロビイスト
march,デモ行進
nonviolent resistance,非暴力抵抗
subversion,転覆
grassroots,草の根
petition,嘆願書
insurrection,暴動
protestor,抗議者
demonstrator,デモ参加者
disobedience,不服従
picket,ピケ隊
revolutionary,革命的な
agitator,扇動者
civil disobedient,市民的不服従者
grassroots movement,草の根運動
resistance movement,抵抗運動
suffrage,参政権
referendum,国民投票
dissident,異議を唱える人
insurgent,反乱者
activist,活動家
militant,好戦的な
reformist,改革主義者
radical,過激な
reactionary,反動的な
revolutionary,革命家
pacifist,平和主義者
freedom fighter,自由の戦士
partisan,党派的な
agitprop,政治宣伝
rhetoric,修辞学
political dissidence,政治的異議
civic engagement,市民参加
social justice,社会正義
grassroots organizing,草の根組織
political activism,政治的行動
civil resistance,市民的抵抗
boycott,不買運動
demonstrate,デモを行う
mobilize,動員する
strike,ストライキを行う
rebel,反逆者
civic duty,市民の義務
