"Feature","NiceGui","Streamlit","Gradio"
"Python version support","3.6+ 🔵","3.6+ 🔵","3.6+ 🔵"
"Dependencies","NumPy,SciPy,Matplotlib 🔵","NumPy, SciPy", "Pandas, Plotly 🔵,NumPy, SciPy 🔵"
"Ease of use","Easy to learn and use 🟢","Easy to learn and use 🟢","Easy to learn and use 🟢"
"Customization","Highly customizable 🟢","Highly customizable 🟢","Highly customizable 🟢"
"Deployment", "Docker, etc. 🟢", "Docker, etc. 🟢", "Docker, etc. 🟢"
"Community support","Active community 🟢","Active community 🟢","Active community 🟢"
"Documentation","Good documentation 🟢","Good documentation 🟢","Good documentation 🟢"
"Auth","No 🔴","Yes 🟢","Yes 🟢"
"Database","No 🔴","Yes 🟢","No 🔴"
"API","No 🔴","Yes 🟢","Yes 🟢"
"SVG","No 🔴","Yes 🟢","Yes 🟢"
"Stars","100+ 🟢","10,000+ 🟢","1,000+ 🟢"
"Forks","10+ 🟢","1,000+ 🟢","100+ 🟢"
"Last released","2022-01-01 🔴","2022-03-08 🟢","2022-05-17 🟢"
"Developer","Individual 🔴","Company 🟢","Company 🟢"
"Capital","No 🔴","Yes 🟢","Yes 🟢"
