A8.net,afb,Link-A,JANet,Mobee2,アクセストレード,バリューコマース,felmat,レントラックス
まんが王国,,,2,750円(税込）,2,500円(税抜）,,,2,133円(税込）,,
eBookJapan,2,455円(税抜）,,3,848円(税込）,,,,2,717円(税込）,,
BookLiveコミック,,,,,1,200円(税込）,,,,
BookLive,,,,,,,クローズド,,
コミックシーモア読み放題,,,,,,195円(税抜）,クローズド,,
music.jp,,,,800円(税抜）,,,,,
U-NEXT,,1,100円(税込）,1,100円(税込）,920円(税抜）,,953円(税抜）,1,100円(税込）,1,100円(税込）,1,100円(税込）
FODプレミアム,,532円(税込）,589円(税込）,800円(税抜）,,,578円(税込）,532円(税込）,1,045円(税込）
Reader Store,1,500円(税抜）,,,,,,1,650円(税込）,,
Renta！,,,,,,,11％(税込）,,
DMM電子書籍,1,200円(税抜）,,,,1,389円(税込）,,,,
ブック放題,,,968円(税込）,,,,495円(税込）,880円(税込）,
dブック,,,,,,,,,
honto,600円(税抜）,,,,,,550円(税込）,,
ひかりTVブック,購入の10％(税抜）,,,,,,,,
