繽紛 ひんぷん
閃爍 せんしゃく
馴服 じゅんぷく
榮耀 えいよう
赫奕 かくえき
寂寞 じゃくまく
崎嶇 きく
滋潤 じじゅん
追逐 ついちく
甄別 けんべつ
勾勒 こうろく
諂媚 てんび
無瑕 むか
放縱 ほうじゅう
猶如 ゆうにょ
佩服 はいふく
錦囊 きんのう
欽定 きんてい
凝望 ぎょうぼう
教誨 きょうかい
節奏 せっそう
綻放 たんほう
襲攻 しゅうこう
痴迷 ちめい
辜負 こふ
棄捨 きしゃ
伯仲 はくちゅう
打溼 うちしめ
驕傲 きょうごう
盤桓 ばんかん
塗抹 とまつ
枯竭 こけつ
宣布 せんぷ
騷擾 そうじょう
慚愧 ざんき
蘊藏 うんぞう
奉献 ほうけん
結帳 けつちょう
招募 しょうぼ
播種 はしゅ
期望 きぼう
撼動 かんどう
帷幕 いばく
歌頌 かしょう
羞赧 しゅうたん
煮熟 しゃじゅく
欺負 きふ
充斥 じゅうせき
囚禁 しゅうきん
遞減 ていげん
貼身 ちょうしん
歪斜 わいしゃ
糾結 きゅうけつ
預料 よりょう
反駁 はんばく
煥發 かんぱつ
洞悉 とうしつ
醒悟 せいご
絲毫 しごう
窮盡 きゅうじん
別墅 べっしょ
稽考 けいこう
傾瀉 けいしゃ
天際 てんさい
逃脱 とうだつ
跨越 かえつ
虹霓 こうげい
初衷 しょちゅう
唱詠 しょうえい
渣滓 さし
鄙人 ひなびと
捷徑 しょうけい
快捷 かいしょう
長庚 ゆうつづ
理會 りかい
睥睨 へいげい
窺視 きし
竭誠 けっせい
干擾 かんじょう
求乞 きゅうきつ
暁星 ぎょうせい
祖宗 そそう
掣肘 せいちゅう
剿滅 そうめつ
雄偉 ゆうい
逐鹿 ちくろく
細膩 さいじ
陳言 ちんげん
忐忑 たんとく
宣称 せんしょう
人煙 じんえん
殿後 でんご
翳障 えいしょう
瑰麗 かいれい
犯諱 はんき
怯懦 きょうだ
躁動 そうどう
衷心 ちゅうしん
輾轉 てんてん
靜謐 せいひつ
料峭 りょうしょう
無聊 ぶりょう
紛擾 ふんじょう
哭泣 こっきゅう
澄澈 ちょうてつ
縹緲 ひょうびょう
紅綃 こうしょう
枷鎖 かさ
彼比 ひし
曠世 こうせい
設施 せっち
斟酌 しんしゃく
贏輸 えいしゅ
形貌 けいぼう
跟随 こんずい
貪心 たんしん
渇求 かっきゅう
欣賞 きんしょう
點播 てんぱ
阻隔 そかく
平殄 へいてん
牢籠 ろうろう
連串 れんせん
追尋 ついじん
細節 さいせつ
群聚 ぐんしゅう
衣帽 いぼう
回望 かいぼう
踴躍 ようやく
隧道 すいどう
削弱 さくじゃく
荊棘 けいきょく
嬌羞 きょうしゅう
疏散 そさん
天譴 てんけん
跳動 ちょうどう
見證 けんしょう
封閉 ほうへい
捍衛 かんえい
繁瑣 はんさ
懊腦 おうのう
瘋狂 ふうきゅう
呻吟 しんぎん
猶豫 ゆうよ
接受 せつじゅ
遵照 じゅんしょう
嵌入 かんにゅう
就緒 しゅうしょ
頭緒 とうしょ
呈瑞 ていずい
精髄 せいずい
放肆 ほうし
眞切 しんせつ
詭異 きい
窺探 きたん
突兀 とっこつ
圓潤 えんじゅん
欣慰 きんい
傾城 けいせい
奢侈 しゃし
絮語 じょご
謹記 きんき
粗糙 そぞう
消除 しょうじょ
恬澹 てんたん
参透 さんとう
講究 こうきゅう
遂意 すいい
賑災 しんさい
懶情 らんじょう
不軌 ふき
尖纖 せんせん
柳絮 りゅうじょ
巡狩 じゅんしゅ
稠密 ちゅうみつ
搖曳 ようえい
照顧 しょうこ
荏苒 じんぜん
陥阱 かんせい
飄揚 ひょうよう
道別 ちわく
炫耀 げんよう
滿溢 まんいつ
仰瞻 ぎょうせん
遵從 じゅんよう
褻瀆 せっとく
日子 にっし
吞噬 どんぜい
柴火 しばび
欺騙 きへん
眩目 げんもく
呼號 こごう
隊伍 たいご
喜歓 きかん
興趣 こうしゅ
不及 ふきゅう
星辰 せいしん
聚集 しゅうしゅう
欣喜 きんき
駕馭 がぎょ
飄蕩 ひょうとう
荒芜 こうぶ
空寂 くうじゃく
偉岸 いがん
憂懷 ゆうかい
蒙蔽 もうへい
嵌入 かんにゅう
迫切 はくせつ
煩躁 はんそう
淅瀝 せきれき
星宿 せいしゅく
阻撓 そどう
依稀 いき
允許 いんきょ
忽略 こつりゃく
閱讀 えつどく
猙獰 そうどう
兇猛 きょうもう
寰球 かんきゅう
寰宇 かんう
煩憂 はんゆう
飛奔 ひほん
臣服 しんぷく
詢問 じゅんもん
逾越 ゆえつ
嘗試 しょうし
泫然 げんぜん
祈求 ききゅう
指尖 しせん
煩擾 はんじょう
瞻望 せんぼう
晨光 しんこう
屏障 へいしょう
舒張 じょちょう
意料 いりょう
豪邁 ごうまい
纏繞 てんじょう
攢聚 さんしゅう
忿懣 ふんまん
時尚 じしょう
呢喃 じなん
國度 こくど
柔情 じゅうじょう
冽冷 れいれつ
諮詢 しじゅん
需求 じゅきゅう
啓行 けいこう
繞路 にょうろ
基層 きそう
壟斷 ろうだん
如同 じょどう
狭隘 きょうあい
崢嶸 そうこう
抓取 そうしゅ
巷陌 こうはく
抗拒 こうきょ
點綴 てんてつ
焦慮 しょうりょ
恐懼 きょうく
熄滅 そくめつ
屏息 へいそく
拾遺 しゅうい
瀰漫 びまん
遨遊 ごうゆう
清晨 せいしん
心事 しんじ
悸動 きどう
擡頭 たいとう
逍遥 しょうよう
報仇 ほうきゅう
行誼 こうぎ
浩瀚 こうかん
殄熄 てんそく
遂願 すいがん
醞釀 うんじょう
闌珊 らんさん
樂趣 らくしゅ
猖獗 しょうけつ
舒暢 じょちょう
遙遠 ようえん
宏大 こうだい
愚蠢 ぐしゅん
熾熱 しねつ
跌宕 てっとう
厭倦 えんけん
曠遠 こうえん
斃傷 へいしょう
斃死 へいし
擦拭 さつしょく
化作 けさ
惹起 じゃっき
沮喪 そそう
痛楚 つうそ
牢固 ろうこ
冤魂 えんこん
拙劣 せつれつ
動盪 どうとう
焦急 しょうきゅう
奢華 しゃか
癘疾 れいしつ
困苦 こんく
重疊 ちょうじょう
引領 いんりょう
懶散 らんさん
思維 しい
薪水 しんすい
薪俸 しんぼう
蕩平 とうへい
感官 かんかん
局促 きょくそく
煎熬 せんごう
至尊 しそん
戒備 かいび
刻畫 こくかく
惆悵 ちゅうちょう
交叉 こうさ
責罵 せきば
愁悶 しゅうもん
蹉跎 さだ
陰霾 いんばい
剔除 てきじょ
謬論 びゅうろん
釐清 りせい
煙波 いんぱ
浩渺 こうびょう
領取 りょうしゅ
乖異 かいい
乖背 かいはい
困倦 こんけん
寬恕 かんじょ
遷徙 せんし
枉顧 おうこ
寒酸 かんさん
閨秀 けいしゅう
顧慮 こりょ
貪婪 どんらん
穎脱 えいだつ
和諧 わかい
翹首 ぎょうしゅ
奔馳 ほんち
咫尺 しせき
驟雨 しゅうう
溯回 そかい
馳驟 ちしゅう
洶湧 きょうゆう
瓜葛 かかつ
逐漸 ちくぜん
紛霏 ふんぴ
震驚 しんきょう
澎湃 ほうはい
絢麗 けんれい
黯淡 あんたん
斜月 しゃげつ
暴悖 ぼうはい
節拍 せつぱく
鬱結 うっけつ
遵循 じゅんじゅん
僭称 せんしょう
緊握 きんあく
鑰匙 やくし
晃悠 こうゆう
截然 せつぜん
渺茫 びょうぼう
渲染 せんせん
衡量 こうりょう
玲瓏 れいろう
浸染 しんぜん
駐足 ちゅうそく
徜徉 しょうよう
堅韌 けんじん
深邃 しんすい
而已 じい
展翅 てんし
懷抱 かいほう
龐錯 ほうさく
傾吐 けいと
逐漸 ちくぜん
摇曳 ようえい
穩步 おんぽ
聚首 しゅうしゅ
諾言 だくげん
糾纏 きゅうてん
惚恍 こつこう
桎梏 しっこく
誠懇 せいこん
窺伺 きし
細數 さいすう
攤開 だかい
萌發 もうはつ
勤懇 きんこん
淪落 りんらく
盈縮 えいしゅく
闊疎 かっそ
輕紗 けいしゃ
珍貴 ちんき
戒備 かいび
打扮 だふん
濤聲 とうせい
圍繞 いじょう
許多 きょた
痊癒 せんゆ
倡議 しょうぎ
洋溢 よういつ
細語 さいご
僑居 きょうじゅ
大致 たいち
掩蓋 えんがい
冉冉 ぜんぜん
奔波 ほんぱ
匆忙 そうぼう
恩澤 おんたく
漂浮 ひょうふ
游弋 ゆうよく
俳倡 はいしょう
尤異 ゆうい
