WxH,Ratio,Pixels,Usage
3840x3840,1:1,14745600,4Ks
1920x720,8:3,1382400,Stores Banner
3840x2160,16:9,8294400,4K
1200x1200,1:1,1440000,Facebook Image
820x312,205:78,255840,Facebook Cover
640x360,16:9,230400,Facebook Mobile Cover
1080x1920,9:16,2073600,Facebook Instagram Story
1024x1024,1:1,1048576,
960x1280,3:4,1228800,
720x1280,9:16,921600,
640x1280,1:2,819200,
960x1440,2:3,1382400,
1280x960,4:3,1228800,
1280x720,16:9,921600,
1280x640,2:1,819200,
1440x960,3:2,1382400,
1024x512,2:1,524288,Twitter Post
1500x500,3:1,750000,Twitter Banner
600x300,2:1,180000,Email Header
1024x768,4:3,786432,Presentation
1920x1080,16:9,2073600,Presentation Wide
1600x2400,2:3,3840000,E-Book Cover
1200x627,1:1,752400,Linkedin Post
736x1128,1:1,829248,Pinterest Post
2490x3510,1:1,8743500,Brochure Cover
1050x600,7:4,630000,Business Card
1500x2100,1:1.4,3150000,Postcard
1200x1800,2:3,2160000,Photo Print
1800x750,24:10,1350000,Coupon
2400x1125,64:30,2700000,Gift Certificate
2550x3300,17:22,8415000,Flyer
3300x2550,22:17,8415000,Certificate
800x800,1:1,640000,Youtube Profile Image
2560x1440,16:9,3686400,Youtube Channel Art
640x400,8:5,256000,
640x480,4:3,307200,
1280x720,16:9,921600,
800x600,4:3,480000,
1440x900,8:5,1296000,
2880x1620,16:9,4665600,
