id,station,stationid,value,unit,obstime,date
0,流浮山,RF001,0,mm,2024-06-14T14:30:00+08:00,2024-06-14
1,湿地公园,RF002,0,mm,2024-06-14T14:30:00+08:00,2024-06-14
2,水边围,N12,0,mm,2024-06-14T14:30:00+08:00,2024-06-14
3,石岗,RF003,0,mm,2024-06-14T14:30:00+08:00,2024-06-14
4,大美督,RF004,3,mm,2024-06-14T14:30:00+08:00,2024-06-14
5,大埔墟,RF005,3,mm,2024-06-14T14:30:00+08:00,2024-06-14
6,北潭涌,RF006,0,mm,2024-06-14T14:30:00+08:00,2024-06-14
7,滘西洲,RF007,0,mm,2024-06-14T14:30:00+08:00,2024-06-14
8,西贡,N15,0,mm,2024-06-14T14:30:00+08:00,2024-06-14
9,将军澳,RF008,0,mm,2024-06-14T14:30:00+08:00,2024-06-14
10,清水湾,RF009,0,mm,2024-06-14T14:30:00+08:00,2024-06-14
11,横澜岛,RF010,0,mm,2024-06-14T14:30:00+08:00,2024-06-14
12,长洲,RF011,0,mm,2024-06-14T14:30:00+08:00,2024-06-14
13,坪洲,RF012,0,mm,2024-06-14T14:30:00+08:00,2024-06-14
14,昂坪,RF013,0,mm,2024-06-14T14:30:00+08:00,2024-06-14
15,香港国际机场,RF014,0,mm,2024-06-14T14:30:00+08:00,2024-06-14
16,打鼓岭,RF015,0,mm,2024-06-14T14:30:00+08:00,2024-06-14
17,上水,RF016,0,mm,2024-06-14T14:30:00+08:00,2024-06-14
18,大陇,RF017,0,mm,2024-06-14T14:30:00+08:00,2024-06-14
19,荃湾可观,RF018,0,mm,2024-06-14T14:30:00+08:00,2024-06-14
20,屯门,RF019,0,mm,2024-06-14T14:30:00+08:00,2024-06-14
21,沙田,RF020,0,mm,2024-06-14T14:30:00+08:00,2024-06-14
22,长青,RF021,0,mm,2024-06-14T14:30:00+08:00,2024-06-14
23,深水埗,RF022,0,mm,2024-06-14T14:30:00+08:00,2024-06-14
24,香港天文台,RF023,0,mm,2024-06-14T14:30:00+08:00,2024-06-14
25,京士柏,RF024,0,mm,2024-06-14T14:30:00+08:00,2024-06-14
26,广播道,K02,0,mm,2024-06-14T14:30:00+08:00,2024-06-14
27,启德,RF025,0,mm,2024-06-14T14:30:00+08:00,2024-06-14
28,新蒲岗,K09,M,mm,2024-06-14T14:30:00+08:00,2024-06-14
29,观塘,K03,0,mm,2024-06-14T14:30:00+08:00,2024-06-14
30,筲箕湾,RF026,0,mm,2024-06-14T14:30:00+08:00,2024-06-14
31,跑马地,RF027,0,mm,2024-06-14T14:30:00+08:00,2024-06-14
32,山顶,RF028,0,mm,2024-06-14T14:30:00+08:00,2024-06-14
33,马己仙峡,H17,0,mm,2024-06-14T14:30:00+08:00,2024-06-14
34,赤柱,H15,0,mm,2024-06-14T14:30:00+08:00,2024-06-14
35,黄竹坑,H24,0,mm,2024-06-14T14:30:00+08:00,2024-06-14
